entity,code,year,emissions_total_per_gdp
Afghanistan,AFG,2022,0.19079225
Albania,ALB,2022,0.12436154
Algeria,DZA,2022,0.32355165
Angola,AGO,2022,0.13318285
Argentina,ARG,2022,0.21495502
Armenia,ARM,2022,0.19381765
Australia,AUS,2022,0.2857192
Austria,AUT,2022,0.15409169
Azerbaijan,AZE,2022,0.23478615
Bahrain,BHR,2022,0.6436446
Bangladesh,BGD,2022,0.11903296
Barbados,BRB,2022,0.38585114
Belarus,BLR,2022,0.32496622
Belgium,BEL,2022,0.1815783
Benin,BEN,2022,0.18300425
Bolivia,BOL,2022,0.300494
Bosnia and Herzegovina,BIH,2022,0.44068867
Botswana,BWA,2022,0.18821605
Brazil,BRA,2022,0.15061064
Bulgaria,BGR,2022,0.33912668
Burkina Faso,BFA,2022,0.17529787
Burundi,BDI,2022,0.09562118
Cambodia,KHM,2022,0.32032892
Cameroon,CMR,2022,0.11836935
Canada,CAN,2022,0.31094024
Cape Verde,CPV,2022,0.14058533
Central African Republic,CAF,2022,0.100582704
Chad,TCD,2022,0.11611242
Chile,CHL,2022,0.19124804
China,CHN,2022,0.4343173
Colombia,COL,2022,0.120418616
Comoros,COM,2022,0.31608006
Congo,COG,2022,0.368576
Costa Rica,CRI,2022,0.09969566
Cote d'Ivoire,CIV,2022,0.11940465
Croatia,HRV,2022,0.17192379
Cuba,CUB,2022,0.27637747
Cyprus,CYP,2022,0.20641588
Czechia,CZE,2022,0.27711037
Democratic Republic of Congo,COD,2022,0.064527914
Denmark,DNK,2022,0.097166
Djibouti,DJI,2022,0.16208528
Dominica,DMA,2022,0.24421787
Dominican Republic,DOM,2022,0.16332467
Ecuador,ECU,2022,0.2403355
Egypt,EGY,2022,0.17111339
El Salvador,SLV,2022,0.1335006
Equatorial Guinea,GNQ,2022,0.37128842
Estonia,EST,2022,0.29915676
Eswatini,SWZ,2022,0.107164614
Ethiopia,ETH,2022,0.06281918
Finland,FIN,2022,0.1606731
France,FRA,2022,0.11053573
Gabon,GAB,2022,0.16048859
Gambia,GMB,2022,0.17350952
Georgia,GEO,2022,0.1701418
Germany,DEU,2022,0.17082076
Ghana,GHA,2022,0.14264555
Greece,GRC,2022,0.21830484
