entity,code,year,coal_share_of_electricity__pct,gas_share_of_electricity__pct,hydro_share_of_electricity__pct,solar_share_of_electricity__pct,wind_share_of_electricity__pct,oil_share_of_electricity__pct,nuclear_share_of_electricity__pct,other_renewables_excluding_bioenergy_share_of_electricity__pct,bioenergy_share_of_electricity__pct
World,OWID_WRL,1985,37.915844,14.427701,20.020542,0.000118828626,0.0006496033,11.235588,15.060813,,
World,OWID_WRL,1986,37.708366,14.072498,19.704493,0.00014914204,0.0013636595,11.475273,15.664165,,
World,OWID_WRL,1987,38.030346,14.212,19.054102,0.00009936651,0.0018309773,11.088151,16.257086,,
World,OWID_WRL,1988,37.705906,13.832076,18.835106,0.00009152052,0.0029763118,11.278762,16.976147,,
World,OWID_WRL,1989,37.54501,14.827241,17.906967,0.0022493065,0.022729335,11.581788,16.683971,,
World,OWID_WRL,1990,37.28858,14.954135,18.046545,0.0032458534,0.030368237,11.420837,16.725414,,
World,OWID_WRL,1991,37.28417,14.842638,18.06946,0.0041335393,0.033430956,11.057069,17.151201,,
World,OWID_WRL,1992,37.69178,14.8214035,17.900799,0.0037821324,0.0383646,10.778767,17.12187,,
World,OWID_WRL,1993,37.522236,14.781277,18.582016,0.0044181007,0.04527144,10.067904,17.34109,,
World,OWID_WRL,1994,37.851097,14.885442,18.229515,0.0046193316,0.05518387,10.0884285,17.224169,,
World,OWID_WRL,1995,37.65334,15.206188,18.557865,0.004774242,0.061815914,9.429153,17.355797,,
World,OWID_WRL,1996,38.2651,15.221581,18.24155,0.005067928,0.06679349,9.041337,17.442835,,
World,OWID_WRL,1997,38.18943,16.06904,18.128866,0.005305944,0.0851338,8.813935,16.916492,,
World,OWID_WRL,1998,37.97951,16.593235,17.786032,0.00559473,0.10977359,8.92796,16.754137,,
World,OWID_WRL,1999,37.723225,17.42034,17.422092,0.006065064,0.14221166,8.494602,16.90781,,
World,OWID_WRL,2000,38.018806,17.969826,17.211256,0.0066759256,0.20387752,8.667707,16.627375,0.28569037,1.0087848
World,OWID_WRL,2001,38.00229,18.804026,16.539244,0.008773724,0.24637389,8.291427,16.858257,0.28482348,0.96478707
World,OWID_WRL,2002,38.282505,19.344744,16.271639,0.0107165845,0.3253605,7.924291,16.5408,0.28554714,1.0143995
World,OWID_WRL,2003,39.541412,19.578411,15.708254,0.012689431,0.38008156,7.7955813,15.642582,0.28031015,1.0606802
World,OWID_WRL,2004,39.031315,20.115314,16.09309,0.015963258,0.49084154,7.2561626,15.61534,0.27711758,1.1048528
World,OWID_WRL,2005,39.523426,20.29626,16.056894,0.021782191,0.5757116,7.0468974,15.037818,0.26794854,1.1732605
World,OWID_WRL,2006,40.16654,20.704878,16.020338,0.02877012,0.70704424,6.241205,14.658907,0.2694412,1.2028776
World,OWID_WRL,2007,40.84329,21.402447,15.536097,0.03697887,0.86816645,6.0670204,13.713581,0.26788124,1.2645353
World,OWID_WRL,2008,40.16482,21.693619,16.1439,0.05894748,1.098612,5.8286867,13.404806,0.28150532,1.3250996
World,OWID_WRL,2009,39.866455,21.973816,16.252254,0.0993807,1.3852125,5.3709707,13.321426,0.29413077,1.436357
World,OWID_WRL,2010,39.776615,22.610592,16.12232,0.15147845,1.6271354,5.072765,12.819516,0.28085357,1.538722
World,OWID_WRL,2011,40.55629,22.14602,15.875048,0.28927687,2.002455,5.401231,11.880287,0.2779898,1.571407
World,OWID_WRL,2012,39.79577,22.923378,16.256107,0.43045595,2.3506308,5.50106,10.802348,0.27909464,1.6611549
World,OWID_WRL,2013,40.698933,21.845621,16.371346,0.5689909,2.7386708,5.168769,10.574463,0.27777982,1.7554286
World,OWID_WRL,2014,40.442207,21.956898,16.299568,0.8326922,2.9734194,4.8160048,10.522266,0.29279402,1.8641458
World,OWID_WRL,2015,38.677925,23.080574,16.173958,1.0666039,3.4564533,4.7215796,10.552841,0.3044702,1.9655993
World,OWID_WRL,2016,37.773415,23.689152,16.257662,1.3260843,3.8887186,4.3941345,10.411424,0.3072343,1.9521748
World,OWID_WRL,2017,37.95069,23.480173,15.935001,1.7477666,4.478748,3.906405,10.197028,0.3098144,1.9943762
World,OWID_WRL,2018,37.911293,23.520424,15.782808,2.1733272,4.791855,3.4332798,10.046292,0.30879113,2.0319302
World,OWID_WRL,2019,36.621334,23.856627,15.756163,2.6011071,5.2956834,3.1865559,10.264002,0.30914095,2.1093886
World,OWID_WRL,2020,35.313847,23.885237,16.266737,3.1934223,5.9553494,2.9033763,9.910166,0.32226476,2.249604
World,OWID_WRL,2021,35.94064,23.20186,15.176367,3.7297404,6.571129,2.980459,9.77541,0.30549484,2.3189015
World,OWID_WRL,2022,35.41229,22.921104,14.952991,4.6100388,7.288462,3.0687716,9.128093,0.3041038,2.314149
World,OWID_WRL,2023,35.044064,22.583324,14.293144,5.6097116,7.81781,2.955604,9.093912,0.29799086,2.30444
World,OWID_WRL,2024,34.07327,22.252438,14.334358,6.927365,8.113421,2.7605357,8.978627,0.28593385,2.2740536
World,OWID_WRL,2025,32.957996,21.783533,13.958585,8.745465,8.539311,2.648907,8.84911,0.28115642,2.2359378
