entity,code,year,renewable_share_of_electricity__pct,renewable_share_of_electricity__pct__original_year
Afghanistan,AFG,2025,86.86869,2024
Albania,ALB,2025,100,2024
Algeria,DZA,2025,1.0689082,2024
Angola,AGO,2025,73.70109,2024
Antigua and Barbuda,ATG,2025,8.108108,2024
Argentina,ARG,2025,34.58048,
Armenia,ARM,2025,38.991768,
Australia,AUS,2025,38.618427,
Austria,AUT,2025,83.597374,
Azerbaijan,AZE,2025,12.139552,
Bahamas,BHS,2025,0.8888889,2024
Bahrain,BHR,2025,0.26350462,2024
Bangladesh,BGD,2025,2.1373308,
Barbados,BRB,2025,9.009009,2024
Belarus,BLR,2025,4.8307095,
Belgium,BEL,2025,38.935383,
Belize,BLZ,2025,87.23404,2024
Benin,BEN,2025,3.960396,2024
Bhutan,BTN,2025,100,2024
Bolivia,BOL,2025,36.096844,
Bosnia and Herzegovina,BIH,2025,43.55956,
Botswana,BWA,2025,0.29154518,2024
Brazil,BRA,2025,86.60146,
Brunei,BRN,2025,0.1798561,2024
Bulgaria,BGR,2025,32.797684,
Burkina Faso,BFA,2025,17.159761,2024
Burundi,BDI,2025,75.5102,2024
Cambodia,KHM,2025,40.87838,
Cameroon,CMR,2025,73.140495,2024
Canada,CAN,2025,63.900127,
Cape Verde,CPV,2025,30.769232,2024
Central African Republic,CAF,2025,100,2023
Chad,TCD,2025,5.405405,2024
Chile,CHL,2025,66.37289,
China,CHN,2025,37.043716,
Colombia,COL,2025,77.02523,
Comoros,COM,2025,0,2023
Congo,COG,2025,20.87912,2024
Costa Rica,CRI,2025,100,
Cote d'Ivoire,CIV,2025,28.91566,2024
Croatia,HRV,2025,76.25851,
Cuba,CUB,2025,4.0144105,2024
Cyprus,CYP,2025,27.749577,
Czechia,CZE,2025,16.847683,
Democratic Republic of Congo,COD,2025,100,2024
Denmark,DNK,2025,91.17117,
Djibouti,DJI,2025,35,2024
Dominica,DMA,2025,13.333332,2023
Dominican Republic,DOM,2025,23.809525,
East Timor,TLS,2025,0,2024
Ecuador,ECU,2025,79.39891,
Egypt,EGY,2025,13.015343,
El Salvador,SLV,2025,86.53251,
Equatorial Guinea,GNQ,2025,26.845638,2024
Eritrea,ERI,2025,11.111112,2024
Estonia,EST,2025,59.574467,
Eswatini,SWZ,2025,96.721306,2024
Ethiopia,ETH,2025,100,
Fiji,FJI,2025,63.478264,2024
Finland,FIN,2025,56.464153,
France,FRA,2025,26.064074,
French Guiana,GUF,2025,65.30612,2023
Gabon,GAB,2025,35.384617,2024
Gambia,GMB,2025,0,2024
Georgia,GEO,2025,79.62963,
Germany,DEU,2025,59.09245,
Ghana,GHA,2025,36.217552,2024
Greece,GRC,2025,49.699673,
Greenland,GRL,2025,83.33333,2024
Grenada,GRD,2025,0,2024
Guatemala,GTM,2025,68.33439,2024
Guinea,GIN,2025,75.1861,2024
Guinea-Bissau,GNB,2025,0,2024
Guyana,GUY,2025,2.8985507,2024
Haiti,HTI,2025,18.60465,2024
Honduras,HND,2025,55.44872,2024
Hungary,HUN,2025,35.31312,
Iceland,ISL,2025,100,2024
India,IND,2025,24.067062,
Indonesia,IDN,2025,18.089573,2024
Iran,IRN,2025,3.843044,
Iraq,IRQ,2025,1.6229213,2024
Ireland,IRL,2025,48.142162,
Israel,ISR,2025,16.930573,
Italy,ITA,2025,48.77597,
Jamaica,JAM,2025,12.601625,2024
Japan,JPN,2025,23.569223,
Jordan,JOR,2025,24.081114,2024
Kazakhstan,KAZ,2025,14.859729,
Kenya,KEN,2025,90.028496,
Kiribati,KIR,2025,25,2024
Kosovo,OWID_KOS,2025,11.028037,
Kuwait,KWT,2025,2.2380798,
Kyrgyzstan,KGZ,2025,84.7275,
Laos,LAO,2025,76.71574,2024
Latvia,LVA,2025,73.04625,
Lebanon,LBN,2025,43.82022,2024
Liberia,LBR,2025,54.385967,2024
Libya,LBY,2025,0.02891009,2024
Lithuania,LTU,2025,77.615295,
Luxembourg,LUX,2025,91.55844,
Madagascar,MDG,2025,42.38683,2024
Malawi,MWI,2025,95.62841,2024
Malaysia,MYS,2025,20.652445,
Maldives,MDV,2025,7.058823,2024
Mali,MLI,2025,19.463087,2024
Malta,MLT,2025,15.981734,
Mauritania,MRT,2025,22.705315,2024
Mauritius,MUS,2025,17.888563,2024
